# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	299031
#@/user_id	1dd0fc4f-c87c-47d9-ba60-5efabec58bf4
a 	啊	c=1051 d=1.20603 t=299031
bi ding 	吡啶	c=2 d=1 t=251164
bi ding 	必定	c=3 d=1 t=295894
bi dou yan 	鼻竇炎	c=1 d=1 t=243914
bi dui 	比對	c=2 d=1 t=255269
bi fu 	鄙夫	c=1 d=1 t=279919
bi he 	閉合	c=2 d=1 t=196596
bi huan 	閉環	c=1 d=1 t=222882
bi ji 	筆記	c=6 d=1 t=292276
bi ji ben 	筆記本	c=16 d=1.72001 t=237583
bi jiao 	比較	c=42 d=1.94649 t=279898
bi jiao da 	比較大	c=2 d=1 t=173027
bi jiao gao 	比較高	c=1 d=1 t=101519
bi jiao hao 	比較好	c=2 d=1 t=246592
bi jiao kuai 	比較快	c=1 d=1 t=111181
bi jiao shao 	比較少	c=1 d=1 t=289813
bi jiao xiao 	比較小	c=1 d=1 t=105708
bi jiao zhao ji 	比較着急	c=1 d=1 t=60133
bi jing 	畢竟	c=5 d=1 t=241175
bi kai 	避開	c=2 d=1.99005 t=186917
bi keng 	避坑	c=1 d=1 t=276914
bi li 	比例	c=8 d=2.77964 t=298385
bi li bi li 	嗶哩嗶哩	c=1 d=1 t=169430
bi lian 	逼聯	c=1 d=1 t=195877
bi mian 	避免	c=44 d=1.99769 t=297345
bi mo 	筆墨	c=1 d=1 t=288361
bi ni 	比你	c=3 d=1 t=240080
bi ran 	必然	c=2 d=1 t=289027
bi rang 	避讓	c=1 d=1 t=167360
bi ru 	比如	c=79 d=1.00398 t=298826
bi ru jin xing 	比如進行	c=1 d=1 t=249103
bi ru shuo 	比如說	c=1 d=1 t=180896
bi sai 	比賽	c=2 d=1 t=189350
bi sheng ke 	必勝客	c=1 d=1 t=199097
bi shu 	避署	c=1 d=1 t=240954
bi shui 	閉水	c=17 d=1.89137 t=233869
bi shui ce shi 	閉水測試	c=1 d=1 t=210145
bi shui shi yan 	必水試驗	c=3 d=1 t=210416
bi shui shi yan 	閉水實驗	c=1 d=1 t=199656
bi te 	比特	c=2 d=0.107372 t=297551
bi te bi 	比特幣	c=2 d=1.93239 t=297566
bi te bi 	比特比	c=12 d=3.67189 t=297574
bi te bi zhong 	比特比中	c=1 d=1 t=296519
bi tian 	必填	c=31 d=2.56957 t=283531
bi tian xiang 	必填想	c=1 d=1 t=46250
bi tian xiang 	必填項	c=10 d=1 t=215874
bi tiao 	比調	c=1 d=1 t=120254
bi wo 	比我	c=3 d=1 t=271831
bi wo men 	比我們	c=1 d=1 t=254539
bi wo qiang 	比我強	c=1 d=1 t=188960
bi xing 	筆形	c=2 d=1 t=292746
bi xu 	必須	c=132 d=1 t=296941
bi xu de 	必須的	c=1 d=1 t=111521
bi xu jiao 	必須繳	c=1 d=1 t=288873
bi xu xing dong 	必須行動	c=1 d=1 t=97050
bi xu zhi xiao 	必須知曉	c=1 d=1 t=126206
bi xuan 	必選	c=3 d=1 t=266661
bi ya di 	比亞迪	c=3 d=1 t=263136
bi yao 	必要	c=14 d=1.0482 t=280715
bi yao 	碧瑤	c=1 d=1 t=106335
bi ye 	畢業	c=10 d=1.92774 t=279975
bi yi bi 	比一比	c=1 d=1 t=132284
bi ying 	必應	c=3 d=0.00759701 t=299031
bi yuan 	閉源	c=1 d=1 t=274604
bi zhe 	筆者	c=1 d=1 t=116830
bi zhe ge 	比這個	c=1 d=1 t=263126
bi zhi 	壁紙	c=3 d=1 t=242121
bi zi 	鼻子	c=2 d=1 t=243911
bi zi ji ai 	比自己矮	c=1 d=1 t=9382
bian 	便	c=2 d=1 t=247993
bian 	編	c=2 d=1 t=161266
bian 	變	c=115 d=0.302704 t=299031
bian 	遍	c=3 d=0.1 t=207503
bian 	邊	c=27 d=0.404542 t=299031
bian bi 	便祕	c=1 d=1 t=24425
bian chan 	扁鏟	c=1 d=1 t=80860
bian chang 	變長	c=1 d=1 t=3311
bian cheng 	編程	c=23 d=1 t=276790
bian cheng 	變成	c=3 d=1 t=280602
bian cu 	變粗	c=1 d=1 t=12965
bian da 	變大	c=2 d=1 t=281622
bian dong 	變動	c=6 d=1 t=296795
bian dong de hua 	變動的話	c=1 d=1 t=258867
bian duan 	變短	c=1 d=1 t=3329
bian fa 	變法	c=0 d=0.1 t=267555
bian fu xia 	蝙蝠俠	c=2 d=1.00098 t=122357
bian gang 	變剛	c=1 d=1 t=71729
bian geng 	變更	c=69 d=1.82283 t=278318
bian geng ge 	變更個	c=1 d=1 t=118226
bian geng ren 	變更人	c=2 d=1.99005 t=35749
bian geng ri zhi 	變更日誌	c=3 d=1 t=227797
bian geng shi xiang 	變更事項	c=2 d=1.20909 t=230862
bian geng wei 	變更爲	c=1 d=1 t=106822
bian hao 	編號	c=60 d=1 t=268851
bian he 	邊核	c=1 d=1 t=63632
bian hu 	邊戶	c=1 d=1 t=134365
bian hu ren 	辯護人	c=1 d=1 t=255969
bian hua 	變化	c=38 d=1.00001 t=286128
bian huan 	變換	c=2 d=1.97045 t=98612
bian ji 	編輯	c=123 d=1 t=297204
bian ji bu 	編輯部	c=1 d=1 t=135859
bian ji de 	編輯的	c=2 d=1 t=120101
bian ji guo 	編輯過	c=2 d=1.99005 t=129690
bian ji qi 	編輯器	c=14 d=1 t=294128
bian ji shi jian 	編輯時間	c=1 d=1 t=11727
bian jie 	邊界	c=4 d=1 t=277942
bian ju 	編劇	c=3 d=1 t=250125
bian ju 	邊距	c=6 d=1.00752 t=269566
bian kuai 	變快	c=1 d=1 t=243214
bian kuang 	邊框	c=13 d=2.06105 t=297219
bian le 	變了	c=3 d=1 t=70246
bian li 	遍歷	c=22 d=1 t=295851
bian li dian 	便利店	c=2 d=1 t=189892
bian liang 	變量	c=156 d=1.00024 t=298869
bian liang ming 	變量名	c=10 d=1.97531 t=291429
bian long 	變龍	c=1 d=1 t=180652
bian ma 	編碼	c=7 d=1 t=297275
bian mi 	便祕	c=2 d=1 t=254979
bian ping 	扁平	c=1 d=1 t=26475
bian ping hua 	扁平化	c=1 d=1 t=267222
bian qiao 	便橋	c=1 d=1 t=246850
bian qu 	編曲	c=2 d=1 t=250204
bian sheng qi 	變聲期	c=1 d=1 t=133124
bian shu 	變數	c=1 d=1 t=233822
bian ti 	變體	c=1 d=1 t=169120
bian wei 	變味	c=1 d=1 t=271537
bian wei 	變爲	c=11 d=1 t=291774
bian xiang 	變相	c=4 d=1 t=254280
bian xie 	編寫	c=21 d=1 t=294440
bian xing 	變形	c=4 d=1 t=232256
bian xing jin gang 	變形金剛	c=9 d=1.20631 t=242219
bian xu 	便須	c=1 d=1 t=268587
bian yang 	變樣	c=1 d=1 t=98615
bian yi 	編譯	c=43 d=1 t=291794
bian yi 	變異	c=3 d=2.85183 t=166508
bian yi qi 	編譯器	c=7 d=1.84221 t=282313
bian yi qi 	編譯期	c=6 d=1.50134 t=281998
bian yi shi 	編譯時	c=2 d=1 t=247653
bian yi yuan li 	編譯原理	c=2 d=1 t=241915
bian yu 	便於	c=1 d=1 t=244158
bian yuan 	邊緣	c=12 d=1 t=273054
bian zhi 	貶值	c=1 d=1 t=286871
biao 	標	c=18 d=0.000246044 t=299031
biao 	表	c=48 d=1 t=298443
biao bao 	表報	c=12 d=1.30216 t=274882
biao chi 	標尺	c=2 d=1.99501 t=125986
biao chu 	標出	c=1 d=1 t=202710
biao cun 	表存	c=2 d=1.00017 t=16097
biao cuo 	表錯	c=1 d=1 t=122654
biao da 	表達	c=4 d=1 t=279289
biao da shi 	表達式	c=12 d=1 t=293922
biao dan 	表單	c=102 d=0.00653881 t=299031
biao dan ye 	表單頁	c=1 d=1 t=77666
biao dan ye mian 	表單頁面	c=1 d=1 t=206568
biao dao 	表到	c=1 d=1 t=34500
biao ge 	標格	c=1 d=1 t=5171
biao ge 	表格	c=206 d=1.59965 t=296976
biao ge ti 	表格體	c=1 d=1 t=274657
biao ge zhuang 	表格裝	c=1 d=1 t=285240
biao hao 	標號	c=4 d=1 t=268850
biao hong 	表紅	c=1 d=1 t=56333
biao ji 	標記	c=42 d=1 t=289944
biao keng er 	表坑兒	c=1 d=1 t=11983
biao liang 	標量	c=1 d=1 t=28401
biao mian ji 	表面積	c=1 d=1 t=231051
biao ming 	標明	c=5 d=1.92312 t=289885
biao ming 	表明	c=3 d=1 t=291419
biao pei 	標配	c=6 d=1.00003 t=232551
biao qian 	標籤	c=110 d=0.0887383 t=299031
biao qian ye 	標籤頁	c=18 d=0.50409 t=299031
biao qian zu 	標籤組	c=2 d=1 t=169016
biao qiang 	標槍	c=1 d=1 t=113169
biao qing 	表情	c=6 d=1 t=218423
biao qing fu hao 	表情符號	c=1 d=1 t=171419
biao shang de 	表上的	c=1 d=1 t=149124
biao shi 	標識	c=24 d=1.18452 t=290356
biao shi 	表示	c=40 d=1 t=292737
biao shi fu 	標識符	c=4 d=1 t=259855
biao ti 	標題	c=53 d=1 t=297183
biao ti 	表體	c=1 d=1 t=274691
biao ti chang du 	標題長度	c=1 d=1 t=8500
biao tou 	表頭	c=43 d=2.47442 t=274719
biao xian 	表現	c=1 d=1 t=277692
biao yi xia 	標一下	c=3 d=1 t=234230
biao yu 	標語	c=1 d=1 t=210777
biao zhi 	標誌	c=8 d=1 t=292385
biao zhi 	標識	c=2 d=1 t=287250
biao zhi wei 	標誌位	c=18 d=7.88446 t=253352
biao zhu 	標註	c=53 d=1.00167 t=292386
biao zhun 	標準	c=28 d=1 t=289598
biao zhun ban 	標準版	c=1 d=1 t=168296
biao zhun hua 	標準化	c=1 d=1 t=267782
biao zhun ku 	標準庫	c=8 d=2.1295 t=281473
biao zhun yong liang 	標準用量	c=1 d=1 t=70767
bie 	別	c=239 d=0.0278194 t=299031
bie 	憋	c=3 d=1 t=200634
bie cai 	別裁	c=1 d=1 t=271584
bie che 	別撤	c=1 d=1 t=213235
bie de 	別的	c=25 d=1 t=296207
bie dong 	別動	c=1 d=1 t=229442
bie e la 	別餓啦	c=1 d=1 t=34232
bie guan 	別管	c=1 d=1 t=293088
bie jia 	別家	c=1 d=1 t=176696
bie jing 	別婧	c=1 d=1 t=151570
bie kai men 	別開門	c=1 d=1 t=227692
bie kan 	別看	c=1 d=1 t=195223
bie ke 	別克	c=1 d=1 t=238072
bie li 	別理	c=0 d=0.1 t=223333
bie li ta 	別理他	c=1 d=1 t=223334
bie ming 	別名	c=12 d=1.00878 t=285694
bie niu 	彆扭	c=3 d=1.00158 t=110620
bie qu 	別去	c=1 d=1 t=273991
bie ren 	別人	c=25 d=1 t=297432
bie shan 	別刪	c=1 d=1 t=198987
bie shuo 	別說	c=3 d=0.00177315 t=299031
bie ting 	別聽	c=1 d=1 t=191358
bie wang 	別忘	c=4 d=1 t=173285
bie wang le 	別忘了	c=3 d=1 t=293143
bie xiang 	別想	c=1 d=1 t=193571
bie zai 	別再	c=2 d=1 t=264423
bie zai shuo 	別再說	c=2 d=1 t=226544
bie zhao ji 	別着急	c=1 d=1 t=238565
bin 	彬	c=2 d=1 t=224126
bin guan 	賓館	c=0 d=0.0955997 t=299031
bin hai 	濱海	c=3 d=1 t=241792
bin hai xin qu 	濱海新區	c=1 d=1 t=240170
bin jiang 	濱江	c=0 d=0.1 t=63444
bin zang 	殯葬	c=1 d=1 t=230258
bing 	並	c=388 d=0.185527 t=299031
bing 	冰	c=2 d=1 t=295106
bing 	病	c=1 d=1 t=101088
bing 	餅	c=9 d=1 t=265134
bing bao 	冰雹	c=2 d=1 t=275574
bing bu 	並不	c=0 d=0.1 t=82400
bing bu hui 	並不會	c=1 d=1 t=102005
bing bu shi 	並不是	c=2 d=1 t=286288
bing cheng 	冰城	c=0 d=0.1 t=209141
bing deng 	冰燈	c=1 d=1 t=40315
bing dian 	冰點	c=1 d=1 t=213448
bing ding 	丙丁	c=3 d=1 t=217098
bing du 	病毒	c=1 d=1 t=119731
bing dui 	並對	c=3 d=1 t=252674
bing fa 	併發	c=7 d=1.69066 t=290811
bing fa shu 	併發數	c=1 d=1 t=258157
bing fei 	並非	c=1 d=1 t=251842
bing gan 	餅乾	c=5 d=4.44915 t=170397
bing hua 	冰花	c=4 d=1 t=168617
bing ji 	病急	c=1 d=1 t=186083
bing jia 	病假	c=2 d=1 t=236452
bing jia 	病家	c=1 d=1 t=4204
bing jiang 	並將	c=1 d=1 t=247951
bing jin xing 	並進行	c=1 d=1 t=249745
bing li 	病例	c=1 d=1 t=75815
bing lie 	並列	c=2 d=1.99501 t=125130
bing mei you 	並沒有	c=2 d=1 t=144519
bing qi 	摒棄	c=1 d=1 t=251492
bing qie 	並且	c=57 d=1.21898 t=295801
bing shi jian 	並時間	c=1 d=1 t=90285
bing tu 	餅圖	c=3 d=1 t=24023
bing wang 	併網	c=1 d=1 t=113503
bing wei 	並未	c=1 d=1 t=101104
bing wen 	炳文	c=1 d=1 t=248909
bing xiang 	冰箱	c=9 d=1 t=290829
bing xiang men 	冰箱門	c=1 d=1 t=156253
bing xiang xi yi ji 	冰箱洗衣機	c=1 d=1 t=4244
bing xing 	並行	c=13 d=1.99005 t=269128
bing xu 	丙戌	c=1 d=1 t=96582
bing zai 	並在	c=2 d=1 t=248907
bo 	博	c=9 d=1.80252 t=255085
bo 	播	c=6 d=1 t=242889
bo 	波	c=1 d=0.1 t=128608
bo bu chu 	播不出	c=1 d=1 t=54290
bo cuo 	博錯	c=1 d=1 t=157248
bo ding 	博丁	c=2 d=1 t=121180
bo dong 	波動	c=1 d=1.1797 t=9876
bo dong cha 	波動差	c=1 d=1 t=9877
bo dong da 	波動大	c=2 d=1.70117 t=9947
bo fan 	播飯	c=1 d=1 t=16240
bo fang 	播放	c=34 d=1 t=270485
bo fang di zhi 	播放地址	c=3 d=2.33931 t=11430
bo ge 	博哥	c=1 d=1 t=51255
bo hui 	駁回	c=1 d=1 t=65040
bo ji 	搏擊	c=1 d=1 t=148812
bo ji zhi ye 	搏擊之夜	c=1 d=1 t=17830
bo ke 	博客	c=4 d=1 t=229492
bo ke 	播客	c=5 d=1.49745 t=232122
bo li 	玻璃	c=2 d=0.1 t=229755
bo li jiao 	玻璃膠	c=1 d=1 t=207487
bo li xin 	玻璃心	c=1 d=1 t=229756
bo shi 	博士	c=1 d=0.1 t=170248
bo shu 	博樹	c=1 d=1 t=231863
bo tong 	撥通	c=1 d=1 t=149012
bo wu guan 	博物館	c=1 d=1 t=236290
bo xue 	剝削	c=2 d=1.81058 t=173742
bo ya 	博雅	c=0 d=0.1 t=6242
bo yan qiu 	博眼球	c=1 d=1 t=101707
bo yang 	博陽	c=16 d=1.0073 t=239590
bo zai 	波仔	c=1 d=1 t=16494
bo zi 	脖子	c=2 d=1 t=221445
bu 	不	c=651 d=1.18329 t=299031
bu 	布	c=0 d=0.1 t=43948
bu 	步	c=3 d=1 t=296770
bu 	補	c=33 d=2.84218 t=294897
bu 	部	c=4 d=1 t=282767
bu ai 	不愛	c=1 d=1 t=227664
bu ai shi 	不礙事	c=4 d=1 t=236200
bu an quan 	不安全	c=3 d=1 t=280321
bu ban 	不辦	c=0 d=0.1 t=204078
bu ban shi 	不辦事	c=1 d=1 t=204079
bu bao 	不包	c=1 d=1 t=261443
bu bao 	不報	c=1 d=1 t=233488
bu bao 	不抱	c=1 d=1 t=266597
bu bao cun 	不保存	c=1 d=1 t=117640
bu bao cuo 	不報錯	c=7 d=1.00024 t=294129
bu bao cuo le 	不報錯了	c=1 d=1 t=144940
bu bao han 	不包含	c=5 d=1 t=292367
bu bao he 	不飽和	c=1 d=1 t=106742
bu bao kuo 	不包括	c=8 d=1 t=251978
bu bao xian 	補保險	c=2 d=1 t=224268
bu bao you 	不包郵	c=1 d=1 t=167709
bu bao zheng 	不保證	c=1 d=1 t=281770
bu bei 	不被	c=2 d=1 t=280993
bu bi 	不必	c=4 d=1 t=281505
bu bi bian 	不必變	c=1 d=1 t=210663
bu bi dao 	不必到	c=1 d=1 t=227636
bu bi tian 	不必填	c=2 d=1.9802 t=210668
bu bi yao 	不必要	c=5 d=1 t=271727
bu bian 	不變	c=14 d=1 t=298262
bu bu 	步步	c=1 d=1 t=29957
bu bu 	補補	c=2 d=1.01678 t=119169
bu bu huo 	不捕獲	c=1 d=1 t=257695
bu bu jiao 	補補覺	c=3 d=1 t=192999
bu can yu 	不參與	c=1 d=1 t=190057
bu cao 	步操	c=1 d=1 t=123352
bu cha 	不差	c=0 d=0.1 t=237462
bu chang 	不嚐	c=1 d=1 t=210476
bu chang 	補償	c=9 d=1 t=260486
bu chang jin 	補償金	c=8 d=1.00037 t=241298
bu chang yong 	不常用	c=4 d=2.98012 t=239555
bu chao guo 	不超過	c=2 d=1 t=255193
bu chao ji 	不超級	c=1 d=1 t=144465
bu cheng gong 	不成功	c=2 d=1 t=121730
bu cheng li 	不成立	c=2 d=1.89137 t=250852
bu chi 	不喫	c=6 d=1 t=209124
bu chi zhi 	不遲滯	c=1 d=1 t=245571
bu chong 	補充	c=45 d=1.98511 t=295690
bu chong fu 	不重複	c=1 d=1 t=140927
bu chong xie yi 	補充協議	c=6 d=2.29123 t=241326
bu chu 	不出	c=13 d=1 t=254767
bu chu fa 	不觸發	c=1 d=1 t=176504
bu chu lai 	不出來	c=2 d=0.1 t=224289
bu chu li 	補處理	c=2 d=1 t=296751
bu chu shi hua 	不初始化	c=1 d=1 t=68242
bu chu xian 	不出現	c=1 d=1 t=151859
bu chuan 	不傳	c=18 d=1 t=279092
bu chuan 	不穿	c=3 d=1 t=292522
bu ci 	不辭	c=2 d=1 t=149646
bu ci da kai 	不辭打開	c=1 d=1 t=109306
bu ci dao 	不辭到	c=6 d=1 t=174648
bu ci sao a 	不辭掃啊	c=1 d=1 t=109294
bu cun 	不存	c=1 d=1 t=39486
bu cun zai 	不存在	c=10 d=1 t=247319
bu cuo 	不錯	c=24 d=0.1 t=241234
bu cuo le 	不錯了	c=2 d=1 t=214323
bu da 	不大	c=5 d=1 t=288640
bu da 	不打	c=2 d=1 t=195930
bu da suan 	不打算	c=1 d=0.1 t=220686
bu dai 	不帶	c=14 d=1 t=296982
bu dai 	不戴	c=1 d=1 t=51634
bu dai biao 	不代表	c=1 d=1 t=55712
bu dang 	不當	c=1 d=1 t=144425
bu dao 	不到	c=35 d=1.22314 t=292548
bu dao sa la 	不到薩拉	c=1 d=1 t=109300
bu de 	不得	c=9 d=1 t=237381
bu de jin 	不得勁	c=6 d=1 t=297827
bu de liao 	不得了	c=1 d=1 t=273095
bu deng 	不等	c=2 d=1 t=222745
bu deng 	補登	c=1 d=1 t=149303
bu deng lu 	不登錄	c=2 d=1 t=273244
bu deng yu 	不等於	c=5 d=1.94176 t=292429
bu diao 	不弔	c=1 d=1 t=226830
bu diao 	不掉	c=2 d=0.1 t=220300
bu ding 	補丁	c=3 d=1 t=144859
bu ding yi 	不定義	c=1 d=1 t=292426
bu diu shi 	不丟失	c=1 d=1 t=101966
bu dong 	不動	c=3 d=1 t=92314
bu dong 	不懂	c=11 d=1 t=283120
bu dong chan 	不動產	c=1 d=1 t=288918
bu du 	不讀	c=1 d=1 t=231960
bu du zhe 	不讀這	c=1 d=1 t=149035
bu duan 	不斷	c=1 d=1 t=280213
bu dui 	不對	c=112 d=0.000461975 t=299031
bu dui chuang 	不對牀	c=1 d=1 t=84981
bu dui qi 	不對其	c=1 d=1 t=8485
bu duo 	不多	c=9 d=1 t=272668
bu er 	布爾	c=13 d=1 t=289754
bu er xing 	布爾型	c=3 d=1.84366 t=182095
bu er zhi 	布爾值	c=1 d=1 t=245474
bu fa 	不發	c=7 d=1 t=298502
bu fa 	補發	c=1 d=1 t=268680
bu fa bu 	不發佈	c=1 d=1 t=47899
bu fan 	不煩	c=1 d=1 t=240830
bu fan hui 	不返回	c=5 d=1 t=279830
bu fang 	不放	c=3 d=1 t=190286
bu fang bian 	不方便	c=7 d=1 t=273010
bu fei 	不費	c=1 d=1 t=240044
bu fen 	部分	c=137 d=0.0513341 t=299031
bu fen fa 	部分法	c=1 d=1 t=261982
bu fen pei 	不分配	c=1 d=1 t=250287
bu fu 	不符	c=2 d=1 t=232007
bu fu he 	不符合	c=1 d=1 t=24005
bu fu ze 	不負責	c=2 d=1 t=112217
bu fu zhi 	不賦值	c=1 d=1 t=101888
bu gai 	不改	c=5 d=1 t=237857
bu gai 	不該	c=4 d=1 t=226561
bu gan 	不幹	c=1 d=1 t=271036
bu gan 	不敢	c=6 d=1 t=294644
bu gan sheng 	不敢昇	c=1 d=1 t=286127
bu gan zhuang 	不敢裝	c=1 d=1 t=213858
bu gao 	不搞	c=1 d=0.0146253 t=299031
bu gao 	不高	c=1 d=0.15259 t=299031
bu gao liang 	不高亮	c=1 d=1 t=26430
bu gao long 	不搞龍	c=3 d=1 t=30401
bu gao xing 	不高興	c=2 d=1 t=213074
bu gei 	不給	c=13 d=1 t=289002
bu gei 	補給	c=1 d=1 t=4372
bu gen 	不跟	c=0 d=0.1 t=240984
bu gen wo 	不跟我	c=1 d=1 t=240985
bu geng xin 	不更新	c=3 d=1 t=187891
bu gong nuan 	不供暖	c=2 d=1.12873 t=192772
bu gong shui 	不供水	c=1 d=1 t=192773
bu gong zuo 	不工作	c=2 d=1 t=290587
bu gou 	不夠	c=14 d=1 t=290199
bu gou yong 	不夠用	c=1 d=1 t=132638
bu guan 	不管	c=31 d=1 t=282845
bu guan 	不關	c=1 d=1 t=17029
bu guan le 	不管了	c=3 d=1.7827 t=95233
bu guan xin 	不關心	c=1 d=1 t=64921
bu guan yong 	不管用	c=4 d=1 t=107812
bu guang 	不光	c=1 d=1 t=44225
bu gui 	不貴	c=2 d=1 t=238328
bu guo 	不過	c=104 d=0.0130365 t=299031
bu guo guan 	不過關	c=1 d=1 t=132316
bu guo lai 	不過來	c=1 d=1 t=79414
bu guo lv 	不過濾	c=1 d=1 t=128147
bu guo qu 	不過去	c=2 d=1 t=272370
bu hai 	不害	c=1 d=1 t=267450
bu hao 	不好	c=56 d=0.633709 t=299031
bu hao ban 	不好辦	c=1 d=1 t=159300
bu hao chi 	不好喫	c=1 d=1 t=242012
bu hao gai 	不好改	c=1 d=1 t=134162
bu hao gu 	不好估	c=1 d=1 t=191658
bu hao guo 	不好過	c=2 d=1 t=90687
bu hao hao 	不好好	c=1 d=1 t=25346
bu hao hua 	不好畫	c=1 d=1 t=284943
bu hao jia 	不好加	c=1 d=1 t=200507
bu hao kan 	不好看	c=3 d=1 t=233205
bu hao kong zhi 	不好控制	c=1 d=0.120032 t=299031
bu hao mai 	不好買	c=5 d=1 t=273538
bu hao nong 	不好弄	c=3 d=1 t=228698
bu hao shang liang 	不好商量	c=1 d=1 t=212378
bu hao shi 	不好使	c=15 d=1.056 t=228706
bu hao shuo 	不好說	c=5 d=1 t=298888
bu hao ting 	不好聽	c=2 d=0.1 t=192839
bu hao ting de 	不好聽的	c=1 d=1 t=192840
bu hao yao 	不好要	c=1 d=1 t=233567
bu hao yi si 	不好意思	c=11 d=1 t=258821
bu hao yong 	不好用	c=8 d=1 t=246987
bu hao zhan shi 	不好展示	c=1 d=1 t=203873
bu hao zhao 	不好找	c=10 d=1.0027 t=277481
bu hao zheng 	不好整	c=3 d=1 t=292926
bu he 	不和	c=0 d=0.1 t=241116
bu he 	不喝	c=2 d=1 t=170405
bu he bing 	不合併	c=1 d=1 t=164888
bu he ge 	不合格	c=3 d=1 t=221523
bu he li 	不合理	c=2 d=1 t=204345
bu he ni 	不和你	c=1 d=1 t=241117
bu he qun 	不合羣	c=1 d=1 t=173687
bu hou hui 	不後悔	c=1 d=1 t=232067
bu huan 	不換	c=0 d=0.1 t=192664
bu huan cun 	不緩存	c=1 d=1 t=171457
bu huan le 	不換了	c=1 d=1 t=192665
bu hui 	不回	c=7 d=1 t=282904
bu hui 	不會	c=181 d=1 t=298300
bu hui ba 	不會吧	c=4 d=1 t=242419
bu hui fu 	不回覆	c=1 d=1 t=21602
bu hui jiao jiao 	補會覺覺	c=1 d=1 t=273648
bu hui lai 	不回來	c=3 d=1.07244 t=238581
bu hui lai 	補回來	c=1 d=1 t=220915
bu hui you 	不會有	c=1 d=1 t=292844
bu hui zhong 	不會中	c=1 d=1 t=247788
bu huo 	捕獲	c=6 d=1 t=275811
bu huo 	補貨	c=4 d=1 t=157474
bu huo yue 	不活躍	c=2 d=1 t=208360
bu ji 	不急	c=3 d=1 t=275746
bu ji 	不濟	c=0 d=0.1 t=153038
bu ji 	不給	c=1 d=1 t=7366
bu ji 	不計	c=0 d=0.1 t=15355
bu ji ba 	不雞巴	c=3 d=1 t=217506
bu ji ge 	不及格	c=1 d=1 t=112215
bu ji ji 	不積極	c=1 d=1 t=294231
bu ji shi 	不計時	c=1 d=1 t=15356
bu jia 	不佳	c=1 d=1 t=163247
bu jia 	不加	c=14 d=1 t=288663
bu jia ban 	不加班	c=8 d=1 t=290596
bu jian 	不見	c=1 d=1 t=52245
bu jian 	部件	c=214 d=5.85332 t=279712
bu jian de 	不見得	c=1 d=1 t=238309
bu jian kang 	不健康	c=1 d=1 t=251493
bu jian mian 	不見面	c=1 d=1 t=39744
bu jian rong 	不兼容	c=10 d=1.73712 t=287741
bu jian yi 	不建議	c=1 d=1 t=215066
bu jiang 	不降	c=0 d=0.1 t=240961
bu jiang xin 	不降薪	c=1 d=1 t=240962
bu jiao 	不交	c=4 d=1 t=234752
bu jiao 	不叫	c=1 d=1 t=97918
bu jiao 	不繳	c=1 d=1.08511 t=277009
bu jiao 	補繳	c=6 d=1.96561 t=297547
bu jiao liu 	不交流	c=1 d=1 t=90904
bu jiao na 	不繳納	c=1 d=1 t=277010
bu jiao qian 	不交錢	c=1 d=1 t=192611
bu jiao wu ye fei 	不交物業費	c=1 d=1 t=193717
bu jie 	不接	c=4 d=0.1 t=253110
bu jie 	不結	c=1 d=1 t=228183
bu jie jue 	不解決	c=1 d=1 t=213356
bu jie shou 	不接受	c=1 d=1 t=258564
bu jie yi 	不介意	c=1 d=1 t=154613
bu jie yin yong 	不解引用	c=1 d=1 t=279888
bu jin 	不近	c=1 d=1 t=272298
bu jin 	不進	c=1 d=0.1 t=271235
bu jin jin 	不僅僅	c=2 d=1.00919 t=58894
bu jin qu 	不進去	c=0 d=0.1 t=61831
bu jing chang 	不經常	c=1 d=1 t=151487
bu jing qi 	不景氣	c=1 d=1 t=240958
bu jing que 	不精確	c=1 d=1 t=109978
bu jiu 	不久	c=4 d=1 t=290569
bu jiu 	不就	c=16 d=1 t=273274
bu jiu shi 	不就是	c=1 d=0.00049667 t=299031
bu ju 	佈局	c=33 d=3.1181 t=286609
bu ju bei 	不具備	c=2 d=1 t=183578
bu ju you 	不具有	c=1 d=1 t=80992
bu juan 	不倦	c=1 d=1 t=223011
bu kai 	不開	c=4 d=1 t=265294
bu kai dai li 	不開代理	c=1 d=1 t=184774
bu kai qi 	不開啓	c=2 d=1 t=285038
bu kai yuan 	不開源	c=1 d=1 t=296952
bu kan 	不看	c=4 d=1 t=54282
bu kao 	補考	c=3 d=1.98511 t=277394
bu kao lv 	不考慮	c=9 d=1.90453 t=263084
bu kao pu 	不靠譜	c=2 d=1 t=262685
bu ke 	不可	c=62 d=1.00082 t=299007
bu ke 	補課	c=1 d=1 t=14059
bu ke bi mian 	不可避免	c=1 d=1 t=190237
bu ke bian 	不可變	c=7 d=1.00002 t=291472
bu ke dian 	不可點	c=1 d=1 t=186362
bu ke dian ji 	不可點擊	c=2 d=1.9802 t=37831
bu ke kong 	不可控	c=1 d=1 t=206831
bu ke neng 	不可能	c=6 d=1 t=173780
bu ke qi 	不客氣	c=2 d=1 t=35746
bu ke si yi 	不可思議	c=2 d=1 t=217512
bu ke ti dai 	不可替代	c=1 d=1 t=169012
bu ke xin 	不可信	c=1 d=1 t=213446
