# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	331009
#@/user_id	SyncTemp
a 	啊	c=1139 d=1.2665 t=331009
bei jing 	背景	c=10 d=0.000367335 t=331009
bei jing kou qiang 	北京口腔	c=1 d=1 t=306839
bei jing nan 	北京南	c=3 d=7.98361e-57 t=331009
bei jing se 	背景色	c=6 d=0.15259 t=331009
bei jing tu 	背景图	c=1 d=1.36972e-201 t=331009
bei jing wan bao 	北京晚报	c=2 d=1.99501 t=310044
bei jing xi 	北京西	c=1 d=7.33376e-88 t=331009
bei jing yin hang 	北京银行	c=1 d=5.85015e-76 t=331009
bei jing zhan 	北京站	c=2 d=3.94342e-62 t=331009
bei ju 	悲剧	c=1 d=0 t=331009
bei ke 	贝壳	c=4 d=6.81811e-322 t=331009
bei kou 	被扣	c=1 d=1.51258e-133 t=331009
bei po 	被迫	c=3 d=2.51163 t=305590
bei po li zhi 	被迫离职	c=1 d=1 t=305530
bei ren 	被人	c=1 d=4.48845e-194 t=331009
bei sen 	北森	c=1 d=0 t=331009
bei shang 	北上	c=0 d=0 t=331009
bei shang guang hang 	北上广杭	c=1 d=0 t=331009
bei shang guang shen 	北上广深	c=1 d=0 t=331009
bei shen qing ren 	被申请人	c=2 d=1.43171 t=305825
bei shu 	倍数	c=2 d=0 t=331009
bei tong 	北通	c=5 d=0 t=331009
bei wan 	背完	c=1 d=1.77702e-58 t=331009
bei xuan 	备选	c=5 d=1.85881e-58 t=331009
bei ying 	背影	c=2 d=6.59888e-163 t=331009
bei yong 	备用	c=20 d=0 t=331009
bei zhai 	北宅	c=2 d=3.97845e-91 t=331009
bei zhan 	北站	c=1 d=1.65744e-62 t=331009
bei zhu 	备注	c=37 d=1.16593e-47 t=331009
bei zi 	杯子	c=2 d=1.12804e-35 t=331009
bei zi 	被子	c=1 d=1.74361e-70 t=331009
ben 	奔	c=1 d=1.67262e-81 t=331009
ben 	本	c=16 d=8.55049e-41 t=331009
ben 	笨	c=1 d=0 t=331009
ben ban 	本版	c=1 d=7.48701e-96 t=331009
ben chan 	本产	c=1 d=1 t=301581
ben chuang 	本床	c=1 d=0 t=331009
ben ci 	本次	c=3 d=7.62292e-43 t=331009
ben di 	本地	c=136 d=0.214129 t=331009
ben di bao 	本地宝	c=22 d=1.92574e-33 t=331009
ben di cun chu 	本地存储	c=1 d=0 t=331009
ben di fu wu qi 	本地服务器	c=1 d=5.15187e-110 t=331009
ben di hua 	本地化	c=2 d=1.33991e-258 t=331009
ben di lian jie 	本地链接	c=1 d=0 t=331009
ben ji 	本机	c=1 d=1 t=301582
ben ji ben 	本基本	c=1 d=0 t=331009
ben ji du 	本季度	c=1 d=1.11087e-178 t=331009
ben jin 	本金	c=1 d=0 t=331009
ben ke 	本科	c=29 d=6.55501e-53 t=331009
ben lai 	本来	c=22 d=3.45334e-05 t=331009
ben pao 	奔跑	c=1 d=0 t=331009
ben qi 	本期	c=3 d=2.05648e-188 t=331009
ben ren 	本人	c=13 d=5.54818e-46 t=331009
ben ren 	笨人	c=1 d=0 t=331009
ben shang 	本上	c=1 d=0 t=331009
ben shen 	本身	c=14 d=1.01719e-40 t=331009
ben tong zhi 	本通知	c=1 d=1 t=307296
ben tu 	本土	c=1 d=0 t=331009
ben ye 	本页	c=1 d=1.1732e-85 t=331009
ben ying 	本应	c=0 d=0 t=331009
ben ying yong 	本应用	c=1 d=0 t=331009
ben yue 	本月	c=1 d=0 t=331009
ben zhi 	本质	c=2 d=0 t=331009
ben zhi shang 	本质上	c=1 d=0.0327124 t=331009
ben zhou 	本周	c=113 d=6.41829e-35 t=331009
ben zhu 	笨猪	c=1 d=7.92791e-269 t=331009
beng 	崩	c=3 d=9.63019e-87 t=331009
beng 	泵	c=1 d=0 t=331009
beng 	甭	c=0 d=3.18247e-91 t=331009
beng 	绷	c=1 d=3.21446e-90 t=331009
beng 	蹦	c=2 d=4.21168e-63 t=331009
beng bu zhu le 	甭不住了	c=1 d=3.19842e-90 t=331009
beng kui 	崩溃	c=3 d=8.50495e-37 t=331009
beng lai 	崩来	c=1 d=0 t=331009
bi 	哔	c=1 d=0 t=331009
bi 	币	c=3 d=6.5654e-05 t=331009
bi 	必	c=0 d=1.58836e-209 t=331009
bi 	比	c=116 d=0.00603608 t=331009
bi 	笔	c=2 d=1.07357e-41 t=331009
bi 	逼	c=10 d=0.170333 t=331009
bi 	避	c=1 d=0.798516 t=331009
bi 	闭	c=0 d=1.61346e-217 t=331009
bi bao 	闭包	c=24 d=5.97407e-86 t=331009
bi bi 	笔笔	c=1 d=1.40325e-309 t=331009
bi bi 	避避	c=1 d=4.56882e-50 t=331009
bi bu ke shao 	必不可少	c=1 d=0 t=331009
bi bu liao 	比不了	c=1 d=0 t=331009
bi chu 	壁橱	c=1 d=2.54422e-280 t=331009
bi chuan 	必传	c=2 d=0 t=331009
bi chuan 	秘传	c=1 d=0 t=331009
bi ci 	彼此	c=1 d=2.7854e-81 t=331009
bi cu 	逼促	c=2 d=1.75954e-265 t=331009
bi ding 	吡啶	c=2 d=1.14322e-104 t=331009
bi ding 	必定	c=3 d=1.54202e-07 t=331009
bi dou yan 	鼻窦炎	c=1 d=2.06517e-120 t=331009
bi dui 	比对	c=2 d=9.37615e-96 t=331009
bi fu 	鄙夫	c=1 d=3.15369e-42 t=331009
bi he 	闭合	c=2 d=3.67472e-223 t=331009
bi hu lu hua piao 	比葫芦画瓢	c=1 d=1 t=307340
bi huan 	闭环	c=1 d=4.41111e-166 t=331009
bi ji 	笔记	c=7 d=2.14637e-15 t=331009
bi ji ben 	笔记本	c=16 d=6.35176e-134 t=331009
bi jiao 	比较	c=47 d=0.00941925 t=331009
bi jiao da 	比较大	c=3 d=3.90669e-61 t=331009
bi jiao gao 	比较高	c=1 d=0 t=331009
bi jiao hao 	比较好	c=2 d=1.34945e-114 t=331009
bi jiao kuai 	比较快	c=1 d=0 t=331009
bi jiao shao 	比较少	c=1 d=9.62426e-21 t=331009
bi jiao xiao 	比较小	c=1 d=0 t=331009
bi jiao zhao ji 	比较著急	c=1 d=0 t=331009
bi jing 	毕竟	c=5 d=2.32966e-126 t=331009
bi kai 	避开	c=2 d=7.02112e-244 t=331009
bi keng 	避坑	c=1 d=9.40903e-49 t=331009
bi lei 	避雷	c=1 d=1 t=306082
bi li 	比例	c=8 d=0.109956 t=331009
bi li bi li 	哔哩哔哩	c=1 d=3.75841e-282 t=331009
bi lian 	逼联	c=1 d=1.0091e-224 t=331009
bi lv 	比率	c=1 d=1 t=299296
bi mian 	避免	c=45 d=0.000435939 t=331009
bi mo 	笔墨	c=1 d=6.76689e-24 t=331009
bi ni 	比你	c=3 d=9.7618e-129 t=331009
bi quan 	币圈	c=1 d=1 t=299688
bi ran 	必然	c=2 d=1.89056e-22 t=331009
bi rang 	避让	c=1 d=1.20242e-286 t=331009
bi ru 	比如	c=85 d=0.360224 t=331009
bi ru jin xing 	比如进行	c=1 d=3.82583e-109 t=331009
bi ru shuo 	比如说	c=1 d=2.9724e-257 t=331009
bi sai 	比赛	c=2 d=6.77228e-239 t=331009
bi sheng ke 	必胜客	c=1 d=9.91006e-218 t=331009
bi shu 	避署	c=1 d=7.71608e-127 t=331009
bi shui 	闭水	c=17 d=6.01577e-142 t=331009
bi shui ce shi 	闭水测试	c=1 d=9.69401e-194 t=331009
bi shui shi yan 	必水试验	c=3 d=3.75814e-193 t=331009
bi shui shi yan 	闭水实验	c=1 d=1.62155e-216 t=331009
bi si 	逼死	c=1 d=1 t=306255
bi te 	比特	c=2 d=6.56314e-05 t=331009
bi te bi 	比特币	c=2 d=0.00127317 t=331009
bi te bi 	比特比	c=13 d=0.00251799 t=331009
bi te bi zhong 	比特比中	c=1 d=3.50963e-06 t=331009
bi tian 	必填	c=33 d=1.18854e-32 t=331009
bi tian xiang 	必填想	c=1 d=0 t=331009
bi tian xiang 	必填项	c=10 d=2.6722e-181 t=331009
bi tiao 	比调	c=1 d=0 t=331009
bi wo 	比我	c=4 d=1.03901e-09 t=331009
bi wo men 	比我们	c=1 d=2.43697e-97 t=331009
bi wo qiang 	比我强	c=1 d=9.63519e-240 t=331009
bi xian 	必现	c=1 d=1 t=324321
bi xing 	笔形	c=2 d=2.25059e-14 t=331009
bi xu 	必须	c=140 d=0.0891399 t=331009
bi xu de 	必须的	c=1 d=0 t=331009
bi xu jiao 	必须缴	c=1 d=8.75353e-23 t=331009
bi xu xing dong 	必须行动	c=1 d=0 t=331009
bi xu zhi xiao 	必须知晓	c=1 d=0 t=331009
bi xu zou 	必须走	c=1 d=1 t=306131
bi xuan 	必选	c=5 d=6.13669e-31 t=331009
bi xuan xiang 	必选项	c=1 d=1 t=312308
bi ya di 	比亚迪	c=3 d=1.13501e-78 t=331009
bi yao 	必要	c=15 d=1.76911e-40 t=331009
bi yao 	碧瑶	c=1 d=0 t=331009
bi ye 	毕业	c=12 d=8.04397e-42 t=331009
bi yi bi 	比一比	c=1 d=0 t=331009
bi ying 	必应	c=3 d=0.00759701 t=331009
bi yuan 	闭源	c=1 d=9.06658e-54 t=331009
bi zhe 	笔者	c=1 d=0 t=331009
bi zhe ge 	比这个	c=1 d=1.07965e-78 t=331009
bi zhi 	壁纸	c=3 d=2.6394e-124 t=331009
bi zi 	鼻子	c=2 d=2.03442e-120 t=331009
bi zi ji ai 	比自己矮	c=1 d=0 t=331009
bian 	便	c=2 d=1.48727e-111 t=331009
bian 	编	c=2 d=7.0324e-300 t=331009
bian 	变	c=134 d=0.302704 t=331009
bian 	遍	c=3 d=1.77612e-200 t=331009
bian 	边	c=35 d=0.404542 t=331009
bian bi 	便秘	c=1 d=0 t=331009
bian chan 	扁铲	c=1 d=0 t=331009
bian chang 	变长	c=1 d=0 t=331009
bian cheng 	编程	c=24 d=5.06153e-49 t=331009
bian cheng 	变成	c=3 d=9.59257e-41 t=331009
bian cu 	变粗	c=1 d=0 t=331009
bian da 	变大	c=2 d=1.57339e-38 t=331009
bian de 	变得	c=1 d=1 t=307324
bian dong 	变动	c=8 d=1.39504e-05 t=331009
bian dong de hua 	变动的话	c=1 d=6.09512e-88 t=331009
bian duan 	变短	c=1 d=0 t=331009
bian fa 	变法	c=0 d=4.4744e-70 t=331009
bian fu xia 	蝙蝠侠	c=2 d=0 t=331009
bian gang 	变刚	c=1 d=0 t=331009
bian geng 	变更	c=81 d=0.000265969 t=331009
bian geng ge 	变更个	c=1 d=0 t=331009
bian geng ren 	变更人	c=2 d=0 t=331009
bian geng ri zhi 	变更日志	c=3 d=2.07651e-155 t=331009
bian geng shi xiang 	变更事项	c=2 d=1.13594e-148 t=331009
bian geng wei 	变更为	c=1 d=0 t=331009
bian geng xu qiu 	变更需求	c=1 d=1 t=327471
bian hao 	编号	c=62 d=2.91718e-66 t=331009
bian he 	边核	c=1 d=0 t=331009
bian hu 	边户	c=1 d=0 t=331009
bian hu ren 	辩护人	c=1 d=3.10495e-94 t=331009
bian hua 	变化	c=38 d=9.58288e-29 t=331009
bian huan 	变换	c=2 d=0 t=331009
bian ji 	编辑	c=150 d=0.000107825 t=331009
bian ji bu 	编辑部	c=1 d=0 t=331009
bian ji de 	编辑的	c=2 d=0 t=331009
bian ji guo 	编辑过	c=2 d=0 t=331009
bian ji qi 	编辑器	c=15 d=2.25565e-11 t=331009
bian ji shi jian 	编辑时间	c=1 d=0 t=331009
bian jie 	边界	c=4 d=1.60627e-46 t=331009
bian ju 	编剧	c=3 d=6.33826e-107 t=331009
bian ju 	边距	c=6 d=1.04911e-64 t=331009
bian kan 	边看	c=1 d=1 t=302690
bian kuai 	变快	c=1 d=6.23626e-122 t=331009
bian kuang 	边框	c=15 d=0.420277 t=331009
bian le 	变了	c=4 d=8.12959e-06 t=331009
bian li 	遍历	c=22 d=1.24371e-07 t=331009
bian li dian 	便利店	c=2 d=1.01782e-237 t=331009
bian liang 	变量	c=158 d=0.444965 t=331009
bian liang ming 	变量名	c=10 d=6.13906e-17 t=331009
bian long 	变龙	c=1 d=8.77541e-258 t=331009
bian ma 	编码	c=15 d=0.000153778 t=331009
bian mi 	便秘	c=2 d=2.19937e-96 t=331009
bian ping 	扁平	c=1 d=0 t=331009
bian ping hua 	扁平化	c=1 d=8.46514e-70 t=331009
bian qiao 	便桥	c=1 d=4.90228e-114 t=331009
bian qu 	编曲	c=2 d=9.40842e-107 t=331009
bian sheng qi 	变声期	c=1 d=0 t=331009
bian shu 	变数	c=1 d=2.51452e-142 t=331009
bian ti 	变体	c=1 d=7.97715e-283 t=331009
bian wei 	变味	c=1 d=1.98398e-60 t=331009
bian wei 	变为	c=11 d=1.74431e-16 t=331009
bian xiang 	变相	c=4 d=6.6748e-98 t=331009
bian xie 	编写	c=33 d=1.07342e-10 t=331009
bian xing 	变形	c=5 d=1.07302e-35 t=331009
bian xing jin gang 	变形金刚	c=9 d=5.19719e-124 t=331009
bian xu 	便须	c=1 d=7.79281e-67 t=331009
bian xue 	边学	c=1 d=1 t=307926
bian yang 	变样	c=1 d=0 t=331009
bian yi 	编译	c=45 d=1.92777e-16 t=331009
bian yi 	变异	c=3 d=4.84268e-288 t=331009
bian yi qi 	编译器	c=7 d=9.17621e-37 t=331009
bian yi qi 	编译期	c=6 d=1.54807e-37 t=331009
bian yi shi 	编译时	c=2 d=2.71701e-112 t=331009
bian yi yuan li 	编译原理	c=2 d=9.42284e-125 t=331009
bian yu 	便于	c=1 d=6.99511e-120 t=331009
bian yuan 	边缘	c=12 d=3.90536e-57 t=331009
bian zhi 	贬值	c=1 d=3.93455e-27 t=331009
biao 	标	c=21 d=0.000246044 t=331009
biao 	表	c=51 d=0.0528657 t=331009
biao bao 	表报	c=13 d=4.73999e-53 t=331009
biao chi 	标尺	c=2 d=0 t=331009
biao chu 	标出	c=1 d=6.94394e-210 t=331009
biao cun 	表存	c=2 d=0 t=331009
biao cuo 	标错	c=1 d=1 t=323476
biao cuo 	表错	c=1 d=0 t=331009
biao da 	表达	c=4 d=1.35142e-43 t=331009
biao da shi 	表达式	c=12 d=8.05281e-12 t=331009
biao dan 	表单	c=113 d=0.00653881 t=331009
biao dan ye 	表单页	c=1 d=0 t=331009
biao dan ye mian 	表单页面	c=1 d=1.65633e-201 t=331009
biao dao 	表到	c=1 d=0 t=331009
biao ge 	标格	c=1 d=0 t=331009
biao ge 	表格	c=238 d=0.410119 t=331009
biao ge ru 	表格入	c=1 d=1 t=316590
biao ge ti 	表格体	c=1 d=1.18177e-53 t=331009
biao ge zhuang 	表格装	c=1 d=1.13038e-30 t=331009
biao hao 	标号	c=4 d=2.90263e-66 t=331009
biao hong 	表红	c=1 d=0 t=331009
biao ji 	标记	c=45 d=4.21697e-19 t=331009
biao keng er 	表坑儿	c=1 d=0 t=331009
biao liang 	标量	c=1 d=0 t=331009
biao mian ji 	表面积	c=1 d=2.41716e-148 t=331009
biao ming 	标明	c=5 d=2.65289e-20 t=331009
biao ming 	表明	c=3 d=2.95632e-17 t=331009
biao pei 	标配	c=6 d=4.37046e-145 t=331009
biao qian 	标签	c=119 d=0.0887383 t=331009
biao qian ye 	标签页	c=18 d=0.50409 t=331009
biao qian zu 	标签组	c=2 d=4.74258e-283 t=331009
biao qiang 	标枪	c=1 d=0 t=331009
biao qing 	表情	c=6 d=9.16119e-176 t=331009
biao qing fu hao 	表情符号	c=1 d=7.83543e-278 t=331009
biao shang de 	表上的	c=1 d=0 t=331009
biao shi 	标识	c=29 d=1.72194e-19 t=331009
biao shi 	表示	c=40 d=2.15156e-14 t=331009
biao shi fu 	标识符	c=4 d=8.51916e-86 t=331009
biao shu 	表述	c=1 d=1 t=319562
biao ti 	标题	c=57 d=0.000306893 t=331009
biao ti 	表体	c=1 d=1.40075e-53 t=331009
biao ti chang du 	标题长度	c=1 d=0 t=331009
biao tou 	表头	c=53 d=3.93803e-08 t=331009
biao xian 	表现	c=2 d=8.81868e-22 t=331009
biao yi xia 	标一下	c=3 d=1.93382e-141 t=331009
biao yu 	标语	c=1 d=2.28494e-192 t=331009
biao zhi 	标志	c=9 d=3.70164e-15 t=331009
biao zhi 	标识	c=2 d=2.61748e-26 t=331009
biao zhi wei 	标志位	c=18 d=5.08257e-99 t=331009
biao zhu 	标注	c=56 d=3.72641e-15 t=331009
biao zhun 	标准	c=28 d=3.28474e-21 t=331009
biao zhun ban 	标准版	c=1 d=1.29585e-284 t=331009
biao zhun hua 	标准化	c=1 d=1.39206e-68 t=331009
biao zhun ku 	标准库	c=8 d=1.59062e-38 t=331009
biao zhun yong liang 	标准用量	c=1 d=0 t=331009
bie 	别	c=258 d=0.697762 t=331009
bie 	憋	c=3 d=2.1559e-214 t=331009
bie cai 	别裁	c=1 d=2.50956e-60 t=331009
bie che 	别撤	c=1 d=4.96996e-187 t=331009
bie de 	别的	c=31 d=7.375e-07 t=331009
bie dong 	别动	c=1 d=7.75187e-152 t=331009
bie e la 	别饿啦	c=1 d=0 t=331009
bie guan 	别管	c=2 d=3.19211e-08 t=331009
bie jia 	别家	c=1 d=2.25384e-266 t=331009
bie jing 	别婧	c=1 d=6.20052e-321 t=331009
bie kai men 	别开门	c=1 d=1.22837e-155 t=331009
bie kan 	别看	c=1 d=3.83524e-226 t=331009
bie ke 	别克	c=1 d=4.25808e-133 t=331009
bie li 	别理	c=0 d=4.20612e-166 t=331009
bie li ta 	别理他	c=1 d=4.2272e-165 t=331009
bie ming 	别名	c=12 d=1.10375e-29 t=331009
bie niu 	别扭	c=3 d=0 t=331009
bie qu 	别去	c=1 d=4.22991e-55 t=331009
bie ren 	别人	c=29 d=0.609982 t=331009
bie shan 	别删	c=1 d=5.71761e-218 t=331009
bie shu 	别墅	c=1 d=1 t=302803
bie shuo 	别说	c=3 d=0.00177315 t=331009
bie ting 	别听	c=1 d=1.55257e-234 t=331009
bie wang 	别忘	c=4 d=8.83142e-274 t=331009
bie wang le 	别忘了	c=4 d=3.96734e-07 t=331009
bie xiang 	别想	c=1 d=9.92018e-230 t=331009
bie zai 	别再	c=2 d=7.07429e-76 t=331009
bie zai shuo 	别再说	c=2 d=3.94893e-158 t=331009
bie zhao ji 	别着急	c=1 d=5.00898e-132 t=331009
bie zhu 	憋住	c=0 d=0.1 t=306370
bin 	彬	c=2 d=2.21748e-163 t=331009
bin guan 	宾馆	c=0 d=0.0955997 t=331009
bin hai 	滨海	c=3 d=5.09437e-125 t=331009
bin hai xin qu 	滨海新区	c=1 d=1.53096e-128 t=331009
bin jiang 	滨江	c=0 d=0 t=331009
bin zang 	殡葬	c=1 d=4.58488e-150 t=331009
bing 	并	c=418 d=0.911248 t=331009
bing 	冰	c=2 d=2.99896e-09 t=331009
bing 	病	c=3 d=0.136695 t=331009
bing 	饼	c=9 d=2.47514e-74 t=331009
bing bao 	冰雹	c=2 d=1.15817e-51 t=331009
bing bu 	并不	c=1 d=2.20821e-55 t=331009
bing bu hui 	并不会	c=1 d=0 t=331009
bing bu shi 	并不是	c=2 d=2.13269e-28 t=331009
bing cheng 	冰城	c=0 d=6.40243e-197 t=331009
bing deng 	冰灯	c=1 d=0 t=331009
bing dian 	冰点	c=1 d=1.44171e-186 t=331009
bing ding 	丙丁	c=4 d=2.90569e-49 t=331009
bing du 	病毒	c=1 d=0 t=331009
bing dui 	并对	c=3 d=2.17297e-101 t=331009
bing fa 	并发	c=7 d=2.39085e-18 t=331009
bing fa shu 	并发数	c=1 d=1.7508e-89 t=331009
bing fei 	并非	c=1 d=3.39147e-103 t=331009
bing gan 	饼干	c=5 d=2.10424e-279 t=331009
bing hua 	冰花	c=4 d=6.45056e-284 t=331009
bing ji 	病急	c=1 d=5.45173e-246 t=331009
bing jia 	病假	c=3 d=5.04417e-38 t=331009
bing jia 	病家	c=1 d=0 t=331009
bing jiang 	并将	c=1 d=1.20556e-111 t=331009
bing jin xing 	并进行	c=1 d=9.48005e-108 t=331009
bing li 	病例	c=1 d=0 t=331009
bing lie 	并列	c=2 d=0 t=331009
bing mei you 	并没有	c=2 d=0 t=331009
bing neng 	并能	c=1 d=1 t=314697
bing qi 	摒弃	c=1 d=5.8935e-104 t=331009
bing qian 	并签	c=1 d=1 t=325074
bing qie 	并且	c=66 d=1.1807e-07 t=331009
bing shi jian 	并时间	c=1 d=0 t=331009
bing tu 	饼图	c=12 d=0.432143 t=331009
bing wang 	并网	c=1 d=0 t=331009
bing wei 	并未	c=1 d=0 t=331009
bing wen 	炳文	c=1 d=1.45031e-109 t=331009
bing xiang 	冰箱	c=9 d=1.54733e-18 t=331009
bing xiang men 	冰箱门	c=1 d=9.15192e-311 t=331009
bing xiang xi yi ji 	冰箱洗衣机	c=1 d=0 t=331009
bing xing 	并行	c=16 d=5.10894e-05 t=331009
bing xu 	丙戌	c=1 d=0 t=331009
bing zai 	并在	c=2 d=1.43588e-109 t=331009
bing zhuang tu 	饼状图	c=2 d=1.9802 t=324759
bo 	博	c=9 d=6.73525e-96 t=331009
bo 	播	c=6 d=1.22799e-122 t=331009
bo 	波	c=1 d=0 t=331009
bo bu chu 	播不出	c=1 d=0 t=331009
bo cuo 	博错	c=1 d=1.32473e-308 t=331009
bo ding 	博丁	c=2 d=0 t=331009
bo dong 	波动	c=1 d=0 t=331009
bo dong cha 	波动差	c=1 d=0 t=331009
bo dong da 	波动大	c=2 d=0 t=331009
bo fan 	播饭	c=1 d=0 t=331009
bo fang 	播放	c=34 d=1.03074e-62 t=331009
bo fang di zhi 	播放地址	c=3 d=0 t=331009
bo ge 	博哥	c=1 d=0 t=331009
bo hui 	驳回	c=13 d=7.13025e-27 t=331009
bo ji 	搏击	c=1 d=0 t=331009
bo ji zhi ye 	搏击之夜	c=1 d=0 t=331009
bo ke 	博客	c=4 d=9.9536e-152 t=331009
bo ke 	播客	c=5 d=7.66134e-146 t=331009
bo li 	玻璃	c=2 d=3.70747e-152 t=331009
bo li jiao 	玻璃胶	c=1 d=1.63957e-199 t=331009
bo li xin 	玻璃心	c=1 d=3.72605e-151 t=331009
bo shi 	博士	c=1 d=2.24527e-281 t=331009
bo shu 	博树	c=1 d=1.40133e-146 t=331009
bo tong 	拨通	c=1 d=0 t=331009
bo wu guan 	博物馆	c=1 d=5.74976e-137 t=331009
bo xing 	波形	c=1 d=1 t=307791
bo xue 	剥削	c=2 d=1.57113e-272 t=331009
bo ya 	博雅	c=0 d=0 t=331009
bo yan qiu 	博眼球	c=1 d=0 t=331009
bo yang 	博阳	c=16 d=8.4853e-130 t=331009
bo zai 	波仔	c=1 d=0 t=331009
bo zi 	脖子	c=2 d=3.34304e-169 t=331009
bu 	不	c=740 d=1.18329 t=331009
bu 	布	c=0 d=0 t=331009
bu 	步	c=5 d=1.23112e-05 t=331009
bu 	补	c=43 d=0.774936 t=331009
bu 	部	c=4 d=4.8214e-36 t=331009
bu ai 	不爱	c=1 d=1.06789e-155 t=331009
bu ai shi 	不碍事	c=5 d=1.99229e-21 t=331009
bu an 	不按	c=0 d=0.1 t=307023
bu an quan 	不安全	c=3 d=2.3537e-41 t=331009
bu an shi 	不按时	c=1 d=1 t=307024
bu ba 	不把	c=1 d=1 t=306923
bu ban 	不办	c=0 d=6.48904e-208 t=331009
bu ban shi 	不办事	c=1 d=6.52156e-207 t=331009
bu bao 	不包	c=1 d=3.81815e-57 t=331009
bu bao 	不报	c=1 d=4.73352e-143 t=331009
bu bao 	不抱	c=1 d=3.71932e-71 t=331009
bu bao cun 	不保存	c=1 d=0 t=331009
bu bao cuo 	不报错	c=7 d=2.2675e-11 t=331009
bu bao cuo le 	不报错了	c=1 d=0 t=331009
bu bao han 	不包含	c=5 d=3.38305e-15 t=331009
bu bao he 	不饱和	c=1 d=0 t=331009
bu bao kuo 	不包括	c=8 d=3.78016e-57 t=331009
bu bao xian 	补保险	c=2 d=4.51033e-163 t=331009
bu bao you 	不包邮	c=1 d=6.88494e-286 t=331009
bu bao zheng 	不保证	c=1 d=3.29773e-38 t=331009
bu bei 	不被	c=2 d=6.77611e-40 t=331009
bu bi 	不必	c=4 d=8.76546e-39 t=331009
bu bi bian 	不必变	c=1 d=1.29219e-192 t=331009
bu bi dao 	不必到	c=1 d=9.28383e-156 t=331009
bu bi tian 	不必填	c=2 d=2.62357e-192 t=331009
bu bi yao 	不必要	c=5 d=5.13e-60 t=331009
bu bian 	不变	c=15 d=0.0213864 t=331009
bu bu 	步步	c=1 d=0 t=331009
bu bu 	补补	c=2 d=0 t=331009
bu bu huo 	不捕获	c=1 d=1.73787e-90 t=331009
bu bu jiao 	补补觉	c=4 d=2.18847e-67 t=331009
bu can yu 	不参与	c=1 d=2.32255e-237 t=331009
bu cao 	步操	c=1 d=0 t=331009
bu cha 	不差	c=0 d=2.01658e-135 t=331009
bu chai 	不拆	c=2 d=1 t=302818
bu chang 	不尝	c=1 d=5.07295e-193 t=331009
bu chang 	补偿	c=15 d=0.000175127 t=331009
bu chang jian 	不常见	c=2 d=1.64404 t=305470
bu chang jin 	补偿金	c=23 d=4.97739e-46 t=331009
bu chang yong 	不常用	c=4 d=2.10737e-129 t=331009
bu chao guo 	不超过	c=2 d=6.41199e-96 t=331009
bu chao ji 	不超级	c=1 d=0 t=331009
bu cheng gong 	不成功	c=3 d=1.94377e-25 t=331009
bu cheng li 	不成立	c=2 d=4.54368e-105 t=331009
bu chi 	不吃	c=6 d=5.88071e-196 t=331009
bu chi zhi 	不迟滞	c=1 d=8.18625e-117 t=331009
bu chong 	补充	c=50 d=0.000227846 t=331009
bu chong fu 	不重复	c=1 d=0 t=331009
bu chong tu 	不冲突	c=1 d=1 t=311869
bu chong xie yi 	补充协议	c=6 d=1.13567e-125 t=331009
bu chou 	不愁	c=1 d=1 t=305152
bu chu 	不出	c=16 d=0.321422 t=331009
bu chu fa 	不触发	c=1 d=8.62979e-267 t=331009
bu chu lai 	不出来	c=2 d=5.00967e-164 t=331009
bu chu li 	补处理	c=2 d=1.11955e-05 t=331009
bu chu shi hua 	不初始化	c=1 d=0 t=331009
bu chu xian 	不出现	c=1 d=2.63041e-320 t=331009
bu chuan 	不传	c=18 d=7.73311e-07 t=331009
bu chuan 	不穿	c=3 d=7.34321e-15 t=331009
bu ci 	不辞	c=2 d=0 t=331009
bu ci da kai 	不辞打开	c=1 d=0 t=331009
bu ci dao 	不辞到	c=6 d=8.0491e-271 t=331009
bu ci sao a 	不辞扫啊	c=1 d=0 t=331009
bu cun 	不存	c=1 d=0 t=331009
bu cun zai 	不存在	c=11 d=6.57452e-67 t=331009
bu cuo 	不错	c=30 d=4.85067e-19 t=331009
bu cuo le 	不错了	c=2 d=1.14529e-184 t=331009
bu da 	不大	c=5 d=2.73042e-23 t=331009
bu da 	不打	c=2 d=1.31529e-224 t=331009
bu da dian hua 	不打电话	c=1 d=1 t=310580
bu da suan 	不打算	c=1 d=7.51613e-172 t=331009
bu dai 	不带	c=16 d=3.55347e-05 t=331009
bu dai 	不戴	c=1 d=0 t=331009
bu dai biao 	不代表	c=1 d=0 t=331009
bu dan 	不但	c=1 d=1 t=323016
bu dang 	不当	c=1 d=0 t=331009
bu dao 	不到	c=43 d=1.02287e-14 t=331009
bu dao sa la 	不到萨拉	c=1 d=0 t=331009
bu de 	不得	c=10 d=4.57349e-62 t=331009
bu de jin 	不得劲	c=7 d=0.00242967 t=331009
bu de liao 	不得了	c=1 d=4.79393e-57 t=331009
bu deng 	不等	c=2 d=2.2236e-166 t=331009
bu deng 	补登	c=1 d=0 t=331009
bu deng lu 	不登录	c=2 d=1.00981e-56 t=331009
bu deng yu 	不等于	c=6 d=0.0192547 t=331009
bu diao 	不吊	c=1 d=1.65014e-157 t=331009
bu diao 	不掉	c=2 d=1.09095e-172 t=331009
bu ding 	补丁	c=3 d=0 t=331009
bu ding yi 	不定义	c=1 d=4.54386e-15 t=331009
